step,loss,lr,tokens_per_sec,mem_gb,entropy
3950,0.9482,1.6e-05,11520,8.4,1.386
3960,0.9252,1.6e-05,11481,8.4,1.386
3970,0.9074,1.6e-05,11472,8.4,1.386
3980,0.9323,1.6e-05,11181,8.5,1.386
3990,0.8815,1.6e-05,11491,8.4,1.386
4000,0.8273,1.6e-05,11477,8.4,1.386
4010,0.9146,1.6e-05,10524,8.4,1.386
4020,0.8498,1.6e-05,11480,8.4,1.386
4030,0.9139,1.6e-05,11514,8.4,1.386
4040,0.883,1.6e-05,11200,8.4,1.386
4050,0.8544,1.6e-05,11460,8.4,1.386
4060,0.8663,1.6e-05,11479,8.4,1.386
4070,0.9316,1.6e-05,11463,8.4,1.386
4080,0.8382,1.6e-05,11476,8.4,1.386
4090,0.8688,1.6e-05,11237,8.4,1.386
4100,0.9227,1.6e-05,11494,8.4,1.386
4110,0.9291,1.6e-05,11475,8.4,1.386
4120,0.8593,1.6e-05,11507,8.4,1.386
4130,0.8978,1.6e-05,11500,8.4,1.386
4140,0.8646,1.6e-05,11501,8.4,1.386
4150,0.9941,1.6e-05,11309,8.4,1.386
4160,0.8902,1.6e-05,11505,8.4,1.386
4170,0.8676,1.6e-05,11491,8.4,1.386
4180,0.9274,1.5e-05,11490,8.4,1.386
4190,0.8221,1.5e-05,11487,8.4,1.386
4200,0.8754,1.5e-05,11475,8.4,1.386
4210,0.844,1.5e-05,11319,8.4,1.386
4220,0.9511,1.5e-05,11477,8.4,1.386
4230,0.9645,1.5e-05,11485,8.4,1.386
4240,0.9891,1.5e-05,11504,8.4,1.386
4250,0.9412,1.5e-05,11487,8.4,1.386
4260,0.8657,1.5e-05,11498,8.4,1.386
4270,1.0351,1.5e-05,11299,8.4,1.386
4280,0.9228,1.5e-05,11504,8.4,1.386
4290,0.8619,1.5e-05,11488,8.4,1.386
4300,0.9289,1.5e-05,11498,8.4,1.386
4310,0.9532,1.5e-05,11515,8.4,1.386
4320,0.8993,1.5e-05,11301,8.4,1.386
4330,0.9305,1.5e-05,11509,8.4,1.386
4340,1.019,1.5e-05,11530,8.4,1.386
4350,0.9235,1.5e-05,11498,8.4,1.386
4360,0.9504,1.5e-05,11503,8.4,1.386
4370,0.8623,1.5e-05,11524,8.4,1.386
4380,0.9497,1.5e-05,11296,8.4,1.386
4390,0.947,1.5e-05,11506,8.4,1.386
4400,0.8987,1.5e-05,11510,8.5,1.386
4410,0.879,1.5e-05,11522,8.4,1.386
4420,0.9786,1.5e-05,11514,8.5,1.386
4430,0.9514,1.5e-05,11509,8.4,1.386
4440,0.9048,1.5e-05,11297,8.4,1.386
4450,0.9151,1.5e-05,11524,8.4,1.386
4460,0.9036,1.5e-05,11494,8.5,1.386
4470,0.8828,1.5e-05,11511,8.4,1.386
4480,0.9488,1.5e-05,11526,8.4,1.386
4490,0.8871,1.5e-05,11339,8.4,1.386
4500,0.9362,1.5e-05,11513,8.4,1.386
4510,0.9,1.5e-05,11507,8.4,1.386
4520,0.9954,1.5e-05,11508,8.4,1.386
4530,0.9174,1.5e-05,11499,8.4,1.386
4540,0.919,1.5e-05,11497,8.4,1.386
4550,0.972,1.5e-05,11306,8.4,1.386
4560,0.9197,1.5e-05,11486,8.4,1.386
4570,0.9209,1.5e-05,11498,8.4,1.386
4580,0.9668,1.5e-05,11515,8.5,1.386
4590,1.0209,1.5e-05,11510,8.4,1.386
4600,0.9419,1.5e-05,11267,8.4,1.386
4610,0.8853,1.5e-05,11518,8.4,1.386
4620,0.8866,1.5e-05,11498,8.4,1.386
4630,0.888,1.5e-05,11512,8.4,1.386
4640,0.8956,1.5e-05,11485,8.4,1.386
4650,0.8799,1.5e-05,11502,8.4,1.386
4660,0.8914,1.4e-05,11343,8.4,1.386
4670,0.9026,1.4e-05,11500,8.4,1.386
4680,0.841,1.4e-05,11516,8.4,1.386
4690,0.894,1.4e-05,11512,8.4,1.386
4700,0.9321,1.4e-05,11502,8.5,1.386
4710,0.9042,1.4e-05,11516,8.4,1.386
4720,0.9783,1.4e-05,11317,8.4,1.386
4730,0.8665,1.4e-05,11484,8.4,1.386
4740,0.8971,1.4e-05,11501,8.4,1.386
4750,0.9773,1.4e-05,11501,8.4,1.386
4760,0.8803,1.4e-05,11501,8.4,1.386
4770,0.8944,1.4e-05,11503,8.4,1.386
4780,0.9633,1.4e-05,11329,8.4,1.386
4790,0.9289,1.4e-05,11497,8.4,1.386
4800,0.8302,1.4e-05,11497,8.4,1.386
4810,0.8749,1.4e-05,11513,8.4,1.386
4820,0.9499,1.4e-05,11491,8.4,1.386
4830,0.871,1.4e-05,11498,8.4,1.386
4840,0.9217,1.4e-05,11333,8.4,1.386
4850,0.8515,1.4e-05,11518,8.4,1.386
4860,0.825,1.4e-05,11503,8.4,1.386
4870,0.8443,1.4e-05,11503,8.4,1.386
